,name,designation,titles,research,background,keywords,links,area
151,"Lee, Junsoo",Assistant Professor,Faculty,"Junsoo Lee received the B . S . degree in mechanical and aerospace engineering and the M . S . degree in aerospace engineering from the Seoul National University , Republic of Korea , in 2016 and 2018 , respectively . In 2018 he joined the Georgia Institute of Technology , where he received the M . S . degree in applied mathematics in 2021 and Ph . D degree in aerospace engineering in 2022 . In 2022 he joined the Department of Mechanical Engineering at the University of South Carolina as an Assistant Professor . Dr . Lee s expertise and research interests include stability theory , optimal control , multiagent systems , network control , and stochastic systems and control .","Junsoo Lee received the B.S. degree in mechanical and aerospace engineering and the
                                    M.S. degree in aerospace engineering from the Seoul National University, Republic
                                    of Korea, in 2016 and 2018, respectively. In 2018 he joined the Georgia Institute
                                    of Technology, where he received the M.S. degree in applied mathematics in 2021 and
                                    Ph. D degree in aerospace engineering in 2022. In 2022 he joined the Department of
                                    Mechanical Engineering at the University of South Carolina as an Assistant Professor.","[""engineering"",""degree"",""aerospace"",""joined""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/junsoo_lee.php,"degree in aerospace engineering from the Seoul National University , Republic of Korea , in 2016 and 2018 , respectively .
In 2018 he joined the Georgia Institute of Technology , where he received the M .
In 2022 he joined the Department of Mechanical Engineering at the University of South Carolina as an Assistant Professor ."
152,"Lee, Woo-Kum",Adjunct Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/leewoo-kum.php,
154,"Lessner , Susan M.","Associate Professor, School of Medicine",Faculty,"School of Medicine Bldg 1 Room C 38 6439 Garners Ferry Road Columbia , SC 29209Dr . Lessner s work focuses on the vascular biology and biomechanics of atherosclerosis , with an emphasis on mechanical failure plaque rupture and intraplaque angiogenesis . Atherosclerotic plaque rupture is a leading cause of acute cardiovascular events such as heart attack and stroke . Evidence suggests that plaque rupture results from an adverse interaction between biomechanical and biological factors . Our research focuses on understanding the interplay between both these types of factors , in order to develop methods to reduce the incidence of plaque rupture . On the biological side , we are particularly interested in intraplaque angiogenesis , or new blood vessel growth , as a destabilizing factor in plaque progression . We use transgenic mouse models and human endarterectomy specimens to examine the relationships between mechanical loading environment , matrix organization , and mechano sensitive gene expression . On the biomechanics front , we study micromechanics of arterial tissue failure in plaque rupture and arterial dissection , and we aim to develop methods to identify patients at elevated risk of acute cardiovascular syndromes where material failure plays a major role . We use both experimental and computational approaches to understand artery wall failure mechanisms . I collaborate with faculty in Mechanical Engineering at UofSC , together with vascular surgeons at Greenville Hospital , Palmetto Health , and MUSC .",,"[""plaque"",""rupture"",""failure""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/lessner.php,"Lessner s work focuses on the vascular biology and biomechanics of atherosclerosis , with an emphasis on mechanical failure plaque rupture and intraplaque angiogenesis .
Our research focuses on understanding the interplay between both these types of factors , in order to develop methods to reduce the incidence of plaque rupture ."
156,"Lewis, Jeremy ","Instructor, Computer Science and Engineering",Faculty,Jeremy Lewis teaches various undergraduate courses .,,"[""lewis"",""various"",""courses"",""jeremy"",""teaches"",""undergraduate""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/jeremylewis.php,Jeremy Lewis teaches various undergraduate courses .
157,"Li, Chen ","Professor, Mechanical Engineering",Faculty,"Dr . Li s research interest are micro nano scale two phase heat and flow physics , prediction , control and modeling . Aim at basic research in developing and verifying theories for two phase transport behaviors and the application of these theories towards controlling two phase heat and flows at micro nano scale .","Dr. Li's research interest are micro/nano-scale two-phase heat and flow physics, prediction,
                                    control and modeling. Aim at basic research in developing and verifying theories for
                                    two-phase transport behaviors and the application of these theories towards controlling
                                    two-phase heat and flows at micro/nano-scale.","[""theories"",""heat"",""research"",""phase"",""micro""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/li_chen.php,"Li s research interest are micro nano scale two phase heat and flow physics , prediction , control and modeling ."
158,"Ling, Yue (Stanley)","Associate Professor, Department of Mechanical Engineering",Faculty,"Dr . Ling s research focuses on the high fidelity modeling and simulation of a wide range of multiphase flows and heat transfer processes . This encompasses atomization and sprays , the aerodynamic deformation and breakup of droplets , flows containing droplets and bubbles undergoing phase change , and the impact of droplets on solid surfaces and thin films . More specifically , his research group develops advanced numerical methods and simulation tools . They conduct large scale simulations using state of the art supercomputers , investigating the intricate thermal energy challenges within multiphase flows . Moreover , they develop physics based and data driven models to efficiently predict outcomes in practical applications .",,"[""flows"",""research"",""droplets"",""multiphase""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/yue_stanley_ling.php,Ling s research focuses on the high fidelity modeling and simulation of a wide range of multiphase flows and heat transfer processes .
159,"Liu, Chang","Associate Professor, Chemical Engineering, Biomedical Engineering",Faculty,"Point Of Care Testing and Lab Testing Assays and Devices for Protein Biomarkers of Various Diseases Disease biomarkers include two major categories proteins and nucleic acids . In diagnostic testing of many diseases e . g . HIV , Tuberculosis , COVID 19 , nucleic acids usually exhibit higher sensitivity because they can be amplified exponentially , thus are detectable earlier after the onset of a disease . However , in many cases , such as HIV , there is no evidence showing that RNA appears ahead of antigen . The major challenge for antigen detection is that proteins cannot be amplified like nucleic acids , leading to the widely held belief that antigen protein biomarker tests are relatively insensitive and therefore have a limited clinical utility , which is in fact a technological issue . Our lab has developed a click chemistry amplified nanopore CAN assay for ultrasensitive circulating antigen quantification . This assay achieved ultralow detection limit in human blood , demonstrating higher analytical sensitivity than latest immunoassays and clinically used benchmark ELISA . Clinical evaluation in HIV and TB patients demonstrated superiority of the CAN assay for quantification at ultra low concentration range in patients missed by traditional methods . We are currently developing a streamlined automatic device including a cost effective microfluidic chip for sample preparation and a nanopore reader for quantification of protein biomarkers in clinical lab testing , POCT , and self testing applications . Machine Learning Assisted Sequencing by Degradation for Single Molecule Protein SequencingRevealing the primary sequence of a protein or peptide is essential to its identification and function . Protein sequencing is commonly performed using mass spectrometry MS , a technique that involves fractionating the protein into many smaller peptides and then obtaining the mass to charge ratio of each new peptide . Recently , efforts have been made to develop single molecule sequencing techniques for proteins similar to what were developed for nucleic acids . Comparing to MS , these single molecule technologies have many desirable advantages experimental simplicity cost efficiency of instruments potential portability and robustness . While nanopore sequencing has matured in gene sequencing , similar methods are being explored for protein sequencing . Successful protein sequencing requires precisely identifying and locating each AA . A crucial point for nanopore sensing is the effective diameter and length of the sensing region i . e . the constriction . Our group designed a Sequencing by Degradation SBD method , in which the N terminal AAs of a peptide sample is chemically derivatized and cleaved , and then identified by a nanopore in a cyclic manner to reconstitute its sequence . The scientific advantage of this method lies in higher sequencing accuracy and coverage than existing single molecule methods single AA resolution by separately reading each AA universal chemistry for degradation of all AAs in natural proteins compatibility with routine pre treatments for complex samples and algorithms designed for identification in heterogeneous samples . Toxin and Pollutant Identification , Detection , and InteractionPer and polyfluoroalkyl substances PFAS manufactured and used in various industries are very persistent in the environment . Accumulation of PFAS in human body through food and water can lead to adverse health outcomes . Rapid and precise detection and identification of these environmental toxins is essential to protecting human health . We engineered nanopores by modifying the pore lumen with cyclodextrins as adapters to enable sensing of small PFAS molecules . Our results showed detection and identification of various PFOA related and PFOS related compounds , all are members of the PFAS family with slight size differences . Using this platform , we also successfully monitored a detoxification process that reverses the binding of PFOA to human serum albumin in vitro .",,"[""sequencing"",""protein"",""identification"",""testing"",""single""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/liu.php,"Point Of Care Testing and Lab Testing Assays and Devices for Protein Biomarkers of Various Diseases Disease biomarkers include two major categories proteins and nucleic acids .
HIV , Tuberculosis , COVID 19 , nucleic acids usually exhibit higher sensitivity because they can be amplified exponentially , thus are detectable earlier after the onset of a disease .
The major challenge for antigen detection is that proteins cannot be amplified like nucleic acids , leading to the widely held belief that antigen protein biomarker tests are relatively insensitive and therefore have a limited clinical utility , which is in fact a technological issue .
We are currently developing a streamlined automatic device including a cost effective microfluidic chip for sample preparation and a nanopore reader for quantification of protein biomarkers in clinical lab testing , POCT , and self testing applications .
Recently , efforts have been made to develop single molecule sequencing techniques for proteins similar to what were developed for nucleic acids ."
161,"Lyons, Jed ",Senior Associate Dean for Academic Affairs,Faculty,"As the Senior Associate Dean for Academic Affairs , Dr . Lyons directs undergraduate recruitment , retention , and graduation activities . He provides college oversight for academic programs at all levels , manages academic resources and assessment services , directs K 12 outreach activities , and is part of the college s communications and marketing team . His research includes engineering education and engineering materials . Jed Lyons received his PhD in Mechanical Engineering from the Georgia Institute of Technology . In 1990 , he joined the University of South Carolina as an Assistant Professor in the Department of Mechanical Engineering , where he advanced to full Professor and served as Mechanical Engineering Undergraduate Director . In 2004 , he helped create a university wide Center for Teaching Excellence , where he served as the first Faculty Director from 2006 to 2012 . Lyons was appointed as the Associate Dean for Academic Affairs in the College of Engineering and Computing in 2012 and promoted to Senior Associate Dean in 2017 . Lyons was elected as a Fellow of the American Society for Engineering Education ASEE in 2009 . He was a founding member of the K 12 Engineering Division of ASEE , and has served as Chair and Executive Committee member of this Division . Lyons has also served the Mechanical Engineering Division of ASEE as Executive Committee Member , Secretary , Program Chair , and Division Chair . Lyons scholarship in the areas of mechanical engineering and engineering education includes over 8M in funded research and implementation projects . He has mentored over 200 research assistants , teaching assistants , teaching fellows and K 12 teacher researchers . In addition to ASEE Fellow status , Lyons works as an engineering educator has been recognized with Georgia Tech s Outstanding Young Alumni award 1996 . UofSC awards include the Michael J . Mungo Undergraduate Teaching award 2003 , Bedenbach Distinguished Service award 2006 , Litman Distinguished Professor award 2004 , and Educational Foundation Award for Outstanding Faculty Service 2019 .","As the Senior Associate Dean for Academic Affairs, Dr. Lyons directs undergraduate
                                 recruitment, retention, and graduation activities. He provides college oversight for
                                 academic programs at all levels, manages academic resources and assessment services,
                                 directs K-12 outreach activities, and is part of the college’s communications and
                                 marketing team. His research includes engineering education and engineering materials.","[""engineering"",""lyons"",""academic""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/lyons_jed.php,"He provides college oversight for academic programs at all levels , manages academic resources and assessment services , directs K 12 outreach activities , and is part of the college s communications and marketing team .
Lyons has also served the Mechanical Engineering Division of ASEE as Executive Committee Member , Secretary , Program Chair , and Division Chair .
In addition to ASEE Fellow status , Lyons works as an engineering educator has been recognized with Georgia Tech s Outstanding Young Alumni award 1996 .
Mungo Undergraduate Teaching award 2003 , Bedenbach Distinguished Service award 2006 , Litman Distinguished Professor award 2004 , and Educational Foundation Award for Outstanding Faculty Service 2019 .As the Senior Associate Dean for Academic Affairs, Dr. Lyons directs undergraduate"
162,"Mandal, Krishna","Professor, Electrical Engineering",Faculty,"SwearingenRoom 3A38301 Main StreetColumbia , SC 29208",,"[""streetcolumbia"",""swearingenroom"",""main""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mandalkrishna.php,"SwearingenRoom 3A38301 Main StreetColumbia , SC 29208"
164,"Matolak, David","Professor, Electrical Engineering",Faculty,"SwearingenRoom 3A28301 Main StreetColumbia , SC 29208David W . Matolak received the B . S . degree from The Pennsylvania State University , M . S . degree from The University of Massachusetts , and Ph . D . degree from The University of Virginia , all in electrical engineering . He has over 25 years experience in communication system research , development , and deployment , with industry , government institutions , and academia , including AT T Bell Labs , L3 Communication Systems , MITRE , and Lockheed Martin . He has over 250 publications and eight patents . He was a professor at Ohio University 1999 2012 , and since 2012 has been a professor at the University of South Carolina . He has organized multiple IEEE workshops and special sessions , and was Associate Editor for IEEE Transactions on Vehicular Technology and IEEE Transactions on Wireless Communications . His research interests are radio channel modeling and communication techniques for non stationary fading channels . Prof . Matolak is also a member of standards groups in RTCA and ITU , and a member of Eta Kappa Nu , Sigma Xi , Tau Beta Pi , URSI , ASEE , and AIAA . He is also an IEEE Fellow .","David W. Matolak received the B.S. degree from The Pennsylvania State University,
                                 M.S. degree from The University of Massachusetts, and Ph.D. degree from The University
                                 of Virginia, all in electrical engineering. He has over 25 years’ experience in communication
                                 system research, development, and deployment, with industry, government institutions,
                                 and academia, including AT&T Bell Labs, L3 Communication Systems, MITRE, and Lockheed
                                 Martin. He has over 250 publications and eight patents. He was a professor at Ohio
                                 University (1999-2012), and since 2012 has been a professor at the University of South
                                 Carolina. He has organized multiple IEEE workshops and special sessions, and was Associate
                                 Editor for IEEE Transactions on Vehicular Technology and IEEE Transactions on Wireless
                                 Communications. His research interests are radio channel modeling and communication
                                 techniques for non-stationary fading channels. Prof. Matolak is also a member of standards
                                 groups in RTCA and ITU, and a member of Eta Kappa Nu, Sigma Xi, Tau Beta Pi, URSI,
                                 ASEE, and AIAA. He is also an IEEE Fellow.","[""university"",""ieee"",""degree"",""communication""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/matolakdavid.php,"He has over 25 years experience in communication system research , development , and deployment , with industry , government institutions , and academia , including AT T Bell Labs , L3 Communication Systems , MITRE , and Lockheed Martin .
He was a professor at Ohio University 1999 2012 , and since 2012 has been a professor at the University of South Carolina .
He has organized multiple IEEE workshops and special sessions , and was Associate Editor for IEEE Transactions on Vehicular Technology and IEEE Transactions on Wireless Communications .
His research interests are radio channel modeling and communication techniques for non stationary fading channels .
Matolak is also a member of standards groups in RTCA and ITU , and a member of Eta Kappa Nu , Sigma Xi , Tau Beta Pi , URSI , ASEE , and AIAA .
Matolak received the B.S. degree from The Pennsylvania State University,"
165,"Matta, Fabio","Associate Professor, Civil and Environmental Engineering",Faculty,"Dr . Matta s team of graduate and undergraduate assistants does experimental and theoretical research on construction materials and their structural performance , ranging from affordable and high quality earth masonry to advanced cement and polymer matrix composites . Emphasis is placed on extreme stressors such as high wind pressures and flying debris impact tornadoes , hurricanes , earthquakes , and radionuclide exposure . Areas of interest include low cost and hazard resistant dwellings civil infrastructure strengthening and repair multi scale and multi functional reinforcement for cement composites load testing , monitoring and assessment of constructed facilities and corrosion in steel and concrete structures . Research sponsors include National Science Foundation , Department of Energy , Federal Highway Administration , National Institute of Standards and Technology , and industry .",,"[""include"",""cement"",""high"",""composites"",""research"",""multi"",""national""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/matta_fabio.php,
167,"Matthews, Michael A.",Associate Vice President for Research | Senior Associate Dean for Research and Graduate Programs,Faculty,"Professor Mike Matthews obtained his Ph . D . in 1986 from Texas A M University . He joined the University of South Carolina in 1994 . He teaches and conducts research in the broad field of thermodynamics , with projects related to hydrogen storage in chemical hydrides , biomedical engineering , and green chemistry . He has raised over 10M in research funding and has published approximately 70 journal papers . He has served as department chair , associate dean , and chair of the Industrial and Engineering Chemistry Division of the American Chemical Society ACS . Currently he serves on the Committee on Environmental Improvement of ACS . He is a Fellow both of the American Chemical Society and the American Institute of Chemical Engineers . Two major research thrusts are underway in his group . The first deals with applications of supercritical carbon dioxide for biomedical applications . Funding from the National Institute of Biomedical Imaging and Bioengineering has focused on development of novel technology for sterilization and disinfection of synthetic and natural biomaterials . Funding from the National Institute of Environmental Health Sciences is aimed at abatement of indoor allergenic proteins and other respiratory hazards . Dr . Matthews founded CarboNix LLC with the aid of three SBIR grants from the NIEHS . The second thrust is in utilization of chemical hydrides as a hydrogen storage medium , with application in PEM fuel cells . Funding from NSF and DOE has led to expanded understanding of the role of deliquescence in the reaction between water vapor and sodium borohydride . In addition , improved understanding of the hydration states of the reaction products is important in decreasing the total water utilization in this reaction .",,"[""funding"",""chemical"",""american"",""research"",""institute"",""biomedical""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/matthews.php,"He teaches and conducts research in the broad field of thermodynamics , with projects related to hydrogen storage in chemical hydrides , biomedical engineering , and green chemistry .
He has served as department chair , associate dean , and chair of the Industrial and Engineering Chemistry Division of the American Chemical Society ACS .
The second thrust is in utilization of chemical hydrides as a hydrogen storage medium , with application in PEM fuel cells ."
170,"McAnally, A. Steve",Associate Professor,Faculty,"Dr . McAnally s research interests focus on water and wastewater treatment , particularly appropriate technology applications for developing communities . Recent research projects include optimization studies for potable water production using low cost portable water treatment units . Other research areas include water treatment for heavy metals removal and corrosion control , industrial waste minimization , constructed wetland applications for industrial and municipal wastewater treatment and education reform in civil and environmental engineering .","Dr. McAnally's research interests focus on water and wastewater treatment, particularly
                                 appropriate technology applications for developing communities. Recent research projects
                                 include optimization studies for potable water production using low-cost portable
                                 water treatment units. Other research areas include water treatment for heavy metals
                                 removal and corrosion control, industrial waste minimization, constructed wetland
                                 applications for industrial and municipal wastewater treatment and education reform
                                 in civil and environmental engineering.","[""water"",""treatment"",""research""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mcanally_steve.php,"Recent research projects include optimization studies for potable water production using low cost portable water treatment units .
Other research areas include water treatment for heavy metals removal and corrosion control , industrial waste minimization , constructed wetland applications for industrial and municipal wastewater treatment and education reform in civil and environmental engineering .Dr. McAnally's research interests focus on water and wastewater treatment, particularly"
171,"McCants, Dale ","Instructor, Mechanical Engineering",Faculty,"Dr . McCants research interests include nanofluids heat transfer mechanics , electronics thermal management , experimental and computational fluid dynamics with heat transfer .","Dr. McCants research interests include nanofluids heat transfer mechanics, electronics
                                    thermal management, experimental and computational fluid dynamics with heat transfer.","[""transfer"",""heat"",""mccants"",""electronics"",""fluid""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mccants_dale.php,
172,"McCarthy, Cam","Assistant Professor, School of Medicine, Biomedical Engineering",Faculty,"My lab studies novel mechanisms that contribute to vascular deterioration in cardiovascular and metabolic diseases , as well as aging . Current hypotheses include dysregulation in cellular recycling autophagy and energy sensing . Furthermore , we are interested in understanding the mechanisms by which therapeutic interventions such as exercise and caloric restriction reverse vascular dysfunction .",,"[""mechanisms"",""vascular"",""recycling"",""well"",""furthermore""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mccarthy_cam.php,
178,"McNeill, Stephen ","Professor Emeritus, Mechanical Engineering",Faculty,"Dr . McNeill s research and interests include computer vision , digital image correlation , microprocessors , experimental mechanics and reverse engineering .","Dr. McNeill's research and interests include computer vision, digital image correlation,
                                    microprocessors, experimental mechanics and reverse engineering.","[""mcneill"",""image"",""experimental"",""microprocessors"",""include"",""correlation"",""research"",""mechanics""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mcneill_steven.php,
179,"Meadows, Michael ",Associate Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/meadows_michael.php,
180,"Meekins, Benjamin H.",Research Assistant Professor,Faculty,"Dr . Meekins has a background in photovoltaics , solar fuel conversion , and catalysis . As a member of the Chemical Engineering department at the University of South Carolina , his research interests include the synthesis of new candidate photovoltaic materials , photocatalytic splitting of water into hydrogen and oxygen , remediation of carbon dioxide to high value products via solar assisted pathways , and single particle reaction kinetics and catalysis to aid fundamental understanding of catalytic processes . Maximilian B . Gorensek , Benjamin Meekins , Hector Colon Mercado , John Weidner . Parametric study of operating conditions of an SO2 depolarized electrolyzer . Int . J . of Hydrogen Energy . 2020 , 45 43 , 22408 22418 . B . H . Meekins , Anthony B . Thompson , Varsha Gopal , Bahareh A Tavakoli Mehrabadi , Mark C Elvington , Prabhu Ganesan , Ty A . Newhouse Illige , Adam W . Sheperd , Lawrence E . Scipioni , James A . Greer , John C Weiss , John W Weidner , Hector ColonMercado . In situ and ex situ comparison of the electrochemical oxidation of SO2 on carbon supported Pt and Au catalysts . Int . J . of Hydrogen Energy . 2020 , 45 3 , 1940 1947 . Kennedy , A . , Meekins , B . Combustion synthesis and photoelectrochemical characterization of gallium zinc oxynitrides . J . Mat . Res . 2018 , 33 23 , 3971 3978 . DOI 10 . 1557 jmr . 2018 . 402",,"[""meekins"",""hydrogen"",""john"",""synthesis""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/meekinsben.php,"Meekins has a background in photovoltaics , solar fuel conversion , and catalysis .
As a member of the Chemical Engineering department at the University of South Carolina , his research interests include the synthesis of new candidate photovoltaic materials , photocatalytic splitting of water into hydrogen and oxygen , remediation of carbon dioxide to high value products via solar assisted pathways , and single particle reaction kinetics and catalysis to aid fundamental understanding of catalytic processes .
Gorensek , Benjamin Meekins , Hector Colon Mercado , John Weidner .
, Meekins , B ."
182,"Mobli, Mostafa",Instructor and Lab Director,Faculty,"Interested in numerical solutions to problems involving reactive flows and heat transfer . Focused on developing new numerical methods and applying previously developed methods to analyze a wide range of fluid flow and heat transfer applications . Specially focused on continuous methods to simulate phase change on a micro nano scale used in various cooling industries , and thermal analysis of glow discharge to show importance of an accurate temperature analysis in glow discharge simulations .","Interested in numerical solutions to problems involving reactive flows and heat transfer.
                                 Focused on developing new numerical methods and applying previously developed methods
                                 to analyze a wide range of fluid flow and heat transfer applications. Specially focused
                                 on continuous methods to simulate phase change on a micro/nano scale used in various
                                 cooling industries, and thermal analysis of glow discharge to show importance of an
                                 accurate temperature analysis in glow discharge simulations.","[""heat"",""discharge"",""methods"",""glow"",""numerical"",""transfer"",""focused""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mostafamobli.php,"Specially focused on continuous methods to simulate phase change on a micro nano scale used in various cooling industries , and thermal analysis of glow discharge to show importance of an accurate temperature analysis in glow discharge simulations .Interested in numerical solutions to problems involving reactive flows and heat transfer."
183,"Monnier, John R.","Professor, Chemical Engineering",Faculty,"Swearingen Engineering CenterRoom 3C04301 Main StreetColumbia , SC 29208Ph . D . , University of Wisconsin Milwaukee , 1978M . S . , University of Wisconsin Milwaukee , 1972B . S . , St . Ambrose University , 1970My research group focuses on heterogeneous catalysis , ranging from rational catalyst design and synthesis to characterization and evaluation . Current interests are in the design and synthesis of novel bimetallic catalysts for the selective transformation of hydrocarbons to higher value chemicals and for higher output PEM fuel cells . Bimetallic catalysts afford great opportunities for changing performance , either by changing the catalyst surfaces into ensembles of catalytic sites that permit only selected reaction pathways , modifying the electronic properties of the catalytic surface sites , or by introducing bifunctionality to the active surface by placing different catalytic metals in contiguous proximity . Bimetallic catalyst synthesis is often carried out by either simultaneous co impregnation of both metal salts onto the catalyst support or by successive steps of metal salt addition . For either of these preparative methods , it is virtually impossible to ensure formation of only bimetallic particles rather , formation of separate metallic particles of both metals can and does occur . Thus , it is very difficult to characterize such catalytic systems , and even more difficult to correlate catalyst performance with bimetallic catalyst composition . Our laboratory uses electroless deposition ED , whereby a controlled chemical reaction is used to deposit a metal salt onto a catalytic metal site that has been activated by a reducing agent . The process may be either catalytic deposition of the metal salt metal A from solution onto the pre existing metal metal B on the support or autocatalytic deposition of the metal salt metal A onto the just reduced , deposited metal metal A , depending on the nature of the activated metal site and the reducing agent . In principle , ED should result in the selective deposition of the secondary metal onto a metallic surface with no formation of isolated crystallites of the secondary metal on the catalyst support . Perhaps most importantly , ED is an industrially relevant process that can be applied to a wide range of metals . We have prepared a large number of bimetallic catalysts using electroless deposition . Those supported on carbon , such as Pt Co , Pt Pd , and Pt Rh have been tested as electrocatalysts for PEM fuel cells , while silica supported compositions such as Ag Pt , Au Pd , and Cu Pd have been evaluated for traditional catalytic reactions such as selective epoxidation of olefins , selective oxidation of biomass molecules such as glycerol , and selective hydrogenation of multi functional olefins . Reactions are conducted in either automated , single pass plug flow reactors six in all or two high pressure batch or stirred tank reactors . Our research projects are currently funded by NSF , DOE , and several industrial companies .",,"[""metal"",""catalyst"",""deposition"",""catalytic"",""either""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/monnierjohn.php,"Ambrose University , 1970My research group focuses on heterogeneous catalysis , ranging from rational catalyst design and synthesis to characterization and evaluation .
Current interests are in the design and synthesis of novel bimetallic catalysts for the selective transformation of hydrocarbons to higher value chemicals and for higher output PEM fuel cells .
Our laboratory uses electroless deposition ED , whereby a controlled chemical reaction is used to deposit a metal salt onto a catalytic metal site that has been activated by a reducing agent ."
185,"Morehouse, Jeff ",Associate Professor Emeritus,Faculty,"Dr . Morehouse and his students have investigated a broad range of thermodynamic heat engine applications , ranging from space based fuel cell power systems to ground coupled heat pumps to phase change storage systems . Dr . Morehouse has long been associated with solar energy system design and analysis and is currently involved in a conventional HVAC control project and with evaporative system applications in humid climates .","Dr. Morehouse and his students have investigated a broad range of thermodynamic heat
                                    engine applications, ranging from space-based fuel cell power systems to ground-coupled
                                    heat pumps to phase change storage systems. Dr. Morehouse has long been associated
                                    with solar energy system design and analysis and is currently involved in a conventional
                                    HVAC control project and with evaporative system applications in humid climates.","[""applications"",""heat"",""morehouse"",""systems"",""system""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/morehouse_jeff.php,Morehouse has long been associated with solar energy system design and analysis and is currently involved in a conventional HVAC control project and with evaporative system applications in humid climates .Dr. Morehouse and his students have investigated a broad range of thermodynamic heat
186,"Moss, Melissa Ann",Department Chair of Chemical Engineering,Faculty,"Swearingen Engineering Center301 Main StreetRoom 2C13Columbia , SC 29208Professor Moss s research focuses on the involvement of protein aggregation in Alzheimer s disease . One hallmark of Alzheimer s disease is the senile plaques that accumulate in the brain where they are associated with neuronal loss and in the cerebrovasculature where they may perpetuate stoke . These plaques are composed primarily of the amyloid protein A . A aggregates into fibrils that deposit to yield plaques . Consequently , inhibition of A aggregation has emerged as one therapeutic approach for Alzheimer s disease . The focus of our research is to understand this aggregation process and to identify and characterize inhibitors that attenuate A aggregation . We utilize a myriad of biophysical techniques including chromatography , fluorescence spectroscopy , static and dynamic light scattering , Western blotting , dot blotting , electron microscopy , and atomic force microscopy . Furthermore , we seek to determine how various A aggregation products affect both neuronal and vascular cells . In particular , we are interested in Ab stimulation of neuronal apoptosis and endothelial inflammatory responses , including NF kB activation . Correlating changes in Ab aggregation with cellular effects will assist research efforts to design effective therapeutic agents for Alzheimer s disease therapy .",,"[""aggregation"",""disease"",""alzheimer"",""research"",""plaques""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/moss.php,"Swearingen Engineering Center301 Main StreetRoom 2C13Columbia , SC 29208Professor Moss s research focuses on the involvement of protein aggregation in Alzheimer s disease .
One hallmark of Alzheimer s disease is the senile plaques that accumulate in the brain where they are associated with neuronal loss and in the cerebrovasculature where they may perpetuate stoke ."
188,"Mulchahey, Kenneth",Adjunct Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mulchahey.php,
189,"Mullen, Robert L",Professor,Faculty,"Room C118300 Main St . Columbia , SC 29208MW 9 30 10 30 a . m .",,"[""main"",""columbia"",""room""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mullen.php,
190,"Mustain, William E",Associate Dean for Research,Faculty,"Ph . D . Illinois Institute of Technology , 2006The overarching theme for all of the projects in the Mustain Laboratory for Electrocatalysts and Fuels m leaf is the design , characterization and implementation of electroactive materials in electrochemical systems . We use a wide variety of electrochemical and physical characterization techniques to explore chemistry property and structure property relationships , which allow us to propose next generation materials with a high level of success . In addition , these relationships help to advance the fundamental understanding of electrochemical processes and we use that knowledge to develop critical components of the 21st century energy portfolio including batteries , fuel cells , electrolyzers , reactors for electrochemical synthesis , and systems for CO2 spearation and utilization .",,"[""electrochemical"",""property"",""use"",""materials"",""systems"",""characterization"",""relationships""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mustainwilliam.php,
192,"Narayanan, Vignesh","Assistant Professor, Computer Science and Engineering",Faculty,"Science Technology Building , Room 514AI Institute at University of South Carolina AIISC 1112 Greene Street Columbia SC 29208",,"[""room"",""science"",""university"",""south"",""building"",""institute"",""aiisc""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/narayanan_vignesh.php,"Science Technology Building , Room 514AI Institute at University of South Carolina AIISC 1112 Greene Street Columbia SC 29208"
